                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0345,                 3.9377,                 2.1939,                0.04067,                0.38932,                0.02744,                0.01781,                 1.8711,                 4.6409,                 2.3819,               8.75e-05,               8.75e-05,               8.75e-05
                      2,                  1.815,                 3.7292,                 1.9063,                0.00544,                0.49048,                0.02734,                0.00978,                 1.7507,                 4.4015,                 2.2193,             0.00018379,             0.00018379,             0.00018379
                      3,                 1.5167,                 3.5244,                 1.6785,                 0.0046,                0.55476,                0.02783,                0.00869,                 1.5588,                   4.33,                 1.9667,             0.00027612,             0.00027612,             0.00027612
                      4,                 1.6179,                 3.4993,                 1.8873,                0.02855,                0.62873,                0.09117,                  0.032,                 1.4433,                 4.2405,                 1.8719,             0.00036448,             0.00036448,             0.00036448
                      5,                 1.7005,                 3.4523,                 1.7429,                0.01051,                 0.4967,                0.12092,                0.06347,                 2.1562,                 4.4146,                 2.5161,             0.00044889,             0.00044889,             0.00044889
                      6,                 1.5146,                 3.0122,                 1.6882,                0.00957,                0.41336,                0.06885,                0.03356,                 1.9955,                 4.7759,                 2.4884,             0.00052934,             0.00052934,             0.00052934
                      7,                 1.5767,                 2.6575,                 1.6608,                0.00963,                0.49432,                 0.0509,                 0.0201,                 1.9212,                 4.4625,                 2.3117,             0.00060583,             0.00060583,             0.00060583
                      8,                 1.5014,                 2.6757,                 1.6317,                0.01358,                0.53003,                0.14755,                0.05946,                 1.9955,                 4.5897,                 2.3482,             0.00067835,             0.00067835,             0.00067835
                      9,                 1.6715,                 3.3978,                 1.8009,                0.01299,                  0.747,                0.12065,                0.05138,                  1.784,                 4.2738,                 2.2448,             0.00074692,             0.00074692,             0.00074692
                     10,                 1.7873,                 2.5464,                 1.8356,                0.17186,                0.13095,                0.12836,                0.04545,                  1.635,                 4.0705,                 2.0063,             0.00081153,             0.00081153,             0.00081153
                     11,                 1.5154,                 2.4693,                 1.6285,                0.77119,                0.06865,                0.11303,                0.03454,                 1.4939,                 4.1851,                 1.9787,             0.00087218,             0.00087218,             0.00087218
                     12,                 1.5856,                 2.3672,                 1.6885,                0.18572,                0.19524,                0.15475,                0.06429,                 1.4538,                 3.7901,                 1.7636,             0.00092886,             0.00092886,             0.00092886
                     13,                 1.6412,                 2.4812,                 1.7411,                0.30955,                0.33278,                0.27548,                0.09001,                 1.4785,                 3.8811,                 1.7671,               0.000953,               0.000953,               0.000953
                     14,                  1.451,                 2.1478,                  1.567,                0.56723,                0.26083,                 0.3721,                 0.1348,                 1.3845,                 3.4884,                 1.9059,             0.00092825,             0.00092825,             0.00092825
                     15,                 1.7247,                 2.5825,                 1.8269,                0.87312,                0.17427,                0.33051,                0.15584,                 1.4051,                 3.4819,                 2.0291,              0.0009035,              0.0009035,              0.0009035
                     16,                 1.4242,                 2.1705,                 1.5549,                 0.6279,                0.32901,                0.42982,                0.16421,                 1.5359,                 3.0503,                 2.1304,             0.00087875,             0.00087875,             0.00087875
                     17,                 1.3902,                 2.2715,                 1.5878,                0.44873,                0.44293,                0.33289,                0.13791,                 1.5494,                 3.5003,                 2.0726,               0.000854,               0.000854,               0.000854
                     18,                 1.4963,                  2.119,                 1.6032,                0.22942,                0.41444,                0.30118,                0.11648,                 1.6204,                 3.2814,                 2.1376,             0.00082925,             0.00082925,             0.00082925
                     19,                 1.5537,                 2.0771,                 1.5915,                0.30629,                0.43099,                0.31511,                0.13812,                 1.4293,                 3.0153,                 1.8536,              0.0008045,              0.0008045,              0.0008045
                     20,                 1.4356,                 2.0274,                  1.557,                0.31454,                0.43639,                 0.3028,                0.13717,                 1.7744,                 3.6073,                 2.0801,             0.00077975,             0.00077975,             0.00077975
                     21,                 1.4325,                 2.0322,                 1.5699,                0.41507,                 0.4328,                0.46462,                0.20093,                 1.5368,                 3.2501,                 1.8191,               0.000755,               0.000755,               0.000755
                     22,                 1.4125,                 1.8983,                 1.5407,                0.48074,                0.55672,                0.46575,                0.23641,                 2.1929,                 3.1074,                 2.8656,             0.00073025,             0.00073025,             0.00073025
                     23,                 1.3922,                 1.9372,                 1.5399,                0.55198,                0.56336,                0.47821,                0.21697,                 2.1269,                 4.6624,                 2.6256,              0.0007055,              0.0007055,              0.0007055
                     24,                 1.3627,                 1.8596,                 1.4873,                0.41357,                0.48479,                0.41593,                0.16177,                 1.6782,                 4.8735,                  1.965,             0.00068075,             0.00068075,             0.00068075
                     25,                 1.4205,                 1.8755,                 1.5244,                0.51627,                0.48854,                0.37696,                0.18278,                 1.5505,                 3.7946,                 1.9758,               0.000656,               0.000656,               0.000656
                     26,                 1.4042,                 2.0533,                 1.4646,                0.52285,                0.57917,                0.48464,                0.24449,                 1.6013,                 3.2545,                 1.9609,             0.00063125,             0.00063125,             0.00063125
                     27,                 1.2608,                 1.7486,                 1.3684,                0.83094,                0.51758,                0.53186,                 0.2636,                 1.4017,                 2.7508,                 1.7263,              0.0006065,              0.0006065,              0.0006065
                     28,                 1.2884,                 1.7134,                 1.3764,                0.80334,                0.59457,                0.59263,                0.30193,                 1.5948,                 2.5026,                 1.9238,             0.00058175,             0.00058175,             0.00058175
                     29,                 1.3134,                 1.6354,                 1.4097,                0.82598,                0.55993,                0.62117,                0.31173,                  1.679,                 2.4112,                 2.0238,               0.000557,               0.000557,               0.000557
                     30,                 1.3054,                 1.7803,                 1.4246,                0.86168,                0.53226,                0.61201,                 0.2989,                 1.5784,                 2.4239,                 1.9386,             0.00053225,             0.00053225,             0.00053225
                     31,                 1.2357,                 1.5584,                 1.3558,                0.67595,                0.47049,                0.57548,                0.26293,                 1.6399,                 2.3332,                 2.1024,              0.0005075,              0.0005075,              0.0005075
