                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 113.39,                      0,                      0,                      0,                      0,                      0,                      0,                 136.51,                      0,               8.75e-05,               8.75e-05,               8.75e-05
                      2,                      0,                 110.62,                      0,                      0,                      0,                      0,                      0,                      0,                  136.5,                      0,             0.00018379,             0.00018379,             0.00018379
                      3,                      0,                 107.36,                      0,                      0,                      0,                      0,                      0,                      0,                 136.55,                      0,             0.00027612,             0.00027612,             0.00027612
