                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8716,                 3.5968,                 2.0008,                0.00188,                0.53763,                0.03006,                0.00975,                 1.9207,                 4.5804,                  2.504,             0.00010003,             0.00010003,             0.00010003
                      2,                 1.7962,                 3.5966,                 1.9771,                0.00205,                0.52227,                0.07443,                 0.0289,                 1.8616,                 4.1905,                 2.4374,             0.00021011,             0.00021011,             0.00021011
                      3,                 1.5377,                 3.4006,                  1.682,                0.01975,                 0.6712,                0.25775,                0.06372,                 1.7797,                 4.3321,                 2.0977,             0.00031565,             0.00031565,             0.00031565
                      4,                 1.5455,                  3.219,                 1.6816,                0.01334,                 0.8414,                0.30068,                 0.0971,                  1.716,                 4.6651,                 2.0673,             0.00041668,             0.00041668,             0.00041668
                      5,                 1.5473,                 2.9857,                 1.6795,                0.00984,                0.90699,                0.33143,                0.13197,                 1.4587,                  4.056,                 1.9907,             0.00051317,             0.00051317,             0.00051317
                      6,                 1.5713,                 2.6583,                 1.6545,                0.00541,                0.75806,                0.29422,                0.09642,                 1.5717,                  4.612,                 2.4762,             0.00060514,             0.00060514,             0.00060514
                      7,                 1.6498,                 2.6143,                 1.6983,                0.00391,                0.67465,                0.32821,                0.11556,                 1.6736,                 4.0966,                 2.1249,             0.00069258,             0.00069258,             0.00069258
                      8,                 1.5003,                 2.4525,                 1.6223,                0.00385,                 0.7212,                0.30922,                0.13896,                 1.7648,                 3.9283,                 2.3134,             0.00077549,             0.00077549,             0.00077549
                      9,                  1.586,                 2.4193,                 1.6744,                0.00387,                0.72819,                 0.2099,                 0.1052,                 2.0025,                 3.9459,                 2.9102,             0.00085388,             0.00085388,             0.00085388
                     10,                 1.6592,                 2.4176,                 1.7279,                      1,                0.01988,                0.19483,                0.07225,                 1.9795,                 4.0767,                 2.8377,             0.00092774,             0.00092774,             0.00092774
