                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 110.55,                      0,                      0,                      0,                      0,                      0,                      0,                 135.99,                      0,             0.00010003,             0.00010003,             0.00010003
                      2,                      0,                 107.73,                      0,                      0,                      0,                      0,                      0,                      0,                 135.59,                      0,             0.00021011,             0.00021011,             0.00021011
                      3,                      0,                 103.88,                      0,                      0,                      0,                      0,                      0,                      0,                 135.29,                      0,             0.00031565,             0.00031565,             0.00031565
                      4,                      0,                  100.6,                      0,                      0,                      0,                      0,                      0,                      0,                 134.74,                      0,             0.00041668,             0.00041668,             0.00041668
                      5,                      0,                 96.381,                      0,                      0,                      0,                      0,                      0,                      0,                 134.16,                      0,             0.00051317,             0.00051317,             0.00051317
                      6,                      0,                 91.585,                      0,                      0,                      0,                      0,                      0,                      0,                 133.22,                      0,             0.00060514,             0.00060514,             0.00060514
                      7,                      0,                 86.794,                      0,                      0,                      0,                      0,                      0,                      0,                 132.84,                      0,             0.00069258,             0.00069258,             0.00069258
                      8,                      0,                 83.183,                      0,                      0,                      0,                      0,                      0,                      0,                 128.95,                      0,             0.00077549,             0.00077549,             0.00077549
                      9,                      0,                 79.734,                      0,                      0,                      0,                      0,                      0,                      0,                 125.13,                      0,             0.00085388,             0.00085388,             0.00085388
                     10,                      0,                 75.952,                      0,                      0,                      0,                      0,                      0,                      0,                 121.94,                      0,             0.00092774,             0.00092774,             0.00092774
                     11,                      0,                 72.423,                      0,                      0,                      0,                      0,                      0,                      0,                 115.78,                      0,             0.00099707,             0.00099707,             0.00099707
                     12,                      0,                 70.053,                      0,                      0,                      0,                      0,                      0,                      0,                 111.01,                      0,              0.0010619,              0.0010619,              0.0010619
                     13,                      0,                 67.098,                      0,                      0,                      0,                      0,                      0,                      0,                 95.724,                      0,              0.0010895,              0.0010895,              0.0010895
                     14,                      0,                 64.608,                      0,                      0,                      0,                      0,                      0,                      0,                 304.59,                      0,              0.0010612,              0.0010612,              0.0010612
                     15,                      0,                 62.319,                      0,                      0,                      0,                      0,                      0,                      0,                 132.58,                      0,              0.0010329,              0.0010329,              0.0010329
                     16,                      0,                  59.97,                      0,                      0,                      0,                      0,                      0,                      0,                  86.01,                      0,              0.0010046,              0.0010046,              0.0010046
                     17,                      0,                 57.831,                      0,                      0,                      0,                      0,                      0,                      0,                  94.17,                      0,             0.00097629,             0.00097629,             0.00097629
                     18,                      0,                 55.754,                      0,                      0,                      0,                      0,                      0,                      0,                 82.564,                      0,               0.000948,               0.000948,               0.000948
