                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8627,                 3.5958,                 1.9973,                0.00262,                 0.5543,                0.03581,                0.01082,                 2.1179,                 4.3899,                 2.6094,             0.00010003,             0.00010003,             0.00010003
                      2,                  1.732,                  3.561,                 1.9561,                 0.0051,                0.54109,                 0.0517,                 0.0145,                  1.849,                 4.4391,                 2.6196,             0.00021011,             0.00021011,             0.00021011
                      3,                 1.5602,                 3.3612,                 1.6882,                0.00431,                 0.6126,                0.09013,                0.02989,                 1.5123,                 4.2218,                 1.9754,             0.00031565,             0.00031565,             0.00031565
                      4,                 1.5456,                 3.1674,                   1.64,                0.00777,                0.79839,                0.16945,                0.05685,                 1.5012,                  4.322,                 2.0204,             0.00041668,             0.00041668,             0.00041668
                      5,                 1.5269,                 2.9774,                 1.6732,                0.00511,                0.65184,                0.19664,                 0.0905,                 1.9649,                 4.3159,                 2.5941,             0.00051317,             0.00051317,             0.00051317
                      6,                 1.6019,                  2.699,                 1.6511,                0.00227,                0.47573,                0.19378,                0.08446,                 2.4973,                 4.4059,                 3.5517,             0.00060514,             0.00060514,             0.00060514
                      7,                 1.5602,                 2.5104,                 1.6337,                 0.0035,                0.65077,                 0.1822,                0.07552,                 2.1171,                 4.5449,                 2.7956,             0.00069258,             0.00069258,             0.00069258
                      8,                 1.5186,                 2.4611,                 1.6196,                  0.004,                0.74485,                0.12945,                0.04204,                  1.806,                 4.1879,                 2.2608,             0.00077549,             0.00077549,             0.00077549
                      9,                 1.5941,                 2.4253,                 1.6542,                0.06404,                0.56843,                0.16402,                0.08405,                  1.816,                 4.0493,                 2.5456,             0.00085388,             0.00085388,             0.00085388
                     10,                 1.6616,                 2.4533,                  1.716,                 0.0041,                0.76636,                0.25217,                0.10336,                 1.5448,                 4.0516,                 2.1622,             0.00092774,             0.00092774,             0.00092774
                     11,                 1.5406,                 2.3554,                 1.6626,                0.73667,                0.01667,                0.10479,                0.04058,                 1.8892,                 3.9645,                 2.2686,             0.00099707,             0.00099707,             0.00099707
                     12,                 1.5257,                 2.2683,                 1.6473,                0.46596,                 0.0266,                0.28241,                0.08413,                 1.6853,                 3.8498,                 2.0078,              0.0010619,              0.0010619,              0.0010619
                     13,                 1.4481,                 2.1433,                 1.6162,                0.38937,                0.18257,                  0.194,                0.05649,                 2.3851,                 4.8824,                 2.8025,              0.0010895,              0.0010895,              0.0010895
                     14,                  1.516,                 2.1496,                 1.6414,                 0.5842,                 0.3499,                0.38621,                 0.1201,                 1.9573,                 4.1566,                  2.367,              0.0010612,              0.0010612,              0.0010612
                     15,                 1.5378,                 2.0479,                 1.5964,                0.33364,                0.26702,                0.28862,                0.13495,                 1.6833,                 3.4662,                 2.1673,              0.0010329,              0.0010329,              0.0010329
                     16,                  1.595,                 2.1954,                 1.6857,                0.41552,                0.36598,                0.33979,                0.15665,                 1.8866,                 3.0462,                 2.3112,              0.0010046,              0.0010046,              0.0010046
                     17,                 1.6512,                  2.208,                 1.6695,                0.30038,                0.26373,                0.21978,                0.10816,                 1.9813,                 3.2451,                 2.5645,             0.00097629,             0.00097629,             0.00097629
                     18,                  1.422,                 2.3507,                 1.5458,                0.36364,                0.28717,                0.31511,                0.13546,                  2.298,                 2.9716,                  3.637,               0.000948,               0.000948,               0.000948
                     19,                 1.4848,                 2.0115,                 1.5842,                0.22798,                0.19286,                0.20768,                0.11278,                  1.964,                 3.3637,                 2.4406,              0.0009197,              0.0009197,              0.0009197
                     20,                 1.5588,                 2.1354,                 1.6853,                0.12997,                0.26198,                  0.114,                0.04574,                 1.5828,                 3.9413,                 2.0456,             0.00089141,             0.00089141,             0.00089141
                     21,                 1.5114,                 2.1984,                 1.6159,                0.42192,                0.27028,                0.25298,                0.09367,                 1.7796,                 3.2035,                 2.0987,             0.00086312,             0.00086312,             0.00086312
                     22,                  1.416,                 1.9165,                 1.4833,                0.34472,                0.26083,                0.26307,                0.11001,                 1.5472,                 2.8143,                 1.8231,             0.00083482,             0.00083482,             0.00083482
                     23,                 1.4394,                 1.8439,                 1.4889,                0.29852,                0.42496,                0.33393,                0.15612,                 1.6563,                 2.9407,                 2.0068,             0.00080653,             0.00080653,             0.00080653
                     24,                 1.4081,                 1.7757,                 1.5098,                0.38903,                0.51144,                0.38795,                0.15458,                 1.8355,                 3.3648,                 2.0802,             0.00077823,             0.00077823,             0.00077823
                     25,                 1.3906,                 2.1625,                  1.497,                0.37313,                0.32061,                0.22608,                0.07996,                 2.5986,                 3.0159,                  3.442,             0.00074994,             0.00074994,             0.00074994
                     26,                 1.3737,                 1.7782,                 1.5005,                0.18697,                0.24837,                0.20481,                0.07271,                 2.6956,                 3.1547,                 3.4038,             0.00072164,             0.00072164,             0.00072164
                     27,                 1.4726,                 1.8097,                 1.5069,                0.42061,                0.58817,                0.39119,                0.15048,                 2.0356,                 3.2003,                 2.3406,             0.00069335,             0.00069335,             0.00069335
                     28,                 1.4306,                 1.7503,                 1.4697,                0.48144,                0.65315,                0.59569,                 0.2453,                 1.7672,                 2.7383,                 2.1902,             0.00066506,             0.00066506,             0.00066506
                     29,                 1.4465,                 1.8472,                 1.5286,                0.58351,                0.59894,                 0.6123,                0.29485,                 1.6953,                 2.7239,                 1.9407,             0.00063676,             0.00063676,             0.00063676
                     30,                 1.4397,                 1.8491,                 1.5583,                0.61813,                0.54602,                0.52287,                0.24266,                 1.6389,                 2.8028,                 1.7904,             0.00060847,             0.00060847,             0.00060847
                     31,                 1.3935,                 1.7015,                  1.488,                 0.5691,                0.55401,                0.50974,                0.27046,                 1.6695,                 2.6895,                 1.9145,             0.00058017,             0.00058017,             0.00058017
                     32,                 1.3521,                 1.6555,                 1.4113,                0.49131,                0.53003,                0.54406,                0.29734,                 1.6235,                 2.4981,                 1.9267,             0.00055188,             0.00055188,             0.00055188
                     33,                 1.2758,                 1.6507,                 1.4164,                 0.5233,                0.52533,                0.56859,                0.27521,                 1.4052,                 2.2975,                 1.7032,             0.00052359,             0.00052359,             0.00052359
                     34,                  1.224,                 1.5152,                 1.3457,                0.46611,                0.62074,                0.54333,                0.21519,                  1.397,                 2.3141,                 1.6825,             0.00049529,             0.00049529,             0.00049529
                     35,                 1.3165,                 1.6398,                 1.4253,                0.65819,                0.52304,                0.55787,                0.22521,                 1.3222,                  2.166,                 1.7003,               0.000467,               0.000467,               0.000467
                     36,                 1.2517,                  1.621,                 1.4199,                0.53369,                0.60883,                0.51954,                0.22027,                 1.4901,                 2.2675,                 1.8551,              0.0004387,              0.0004387,              0.0004387
                     37,                  1.242,                 1.6479,                 1.3863,                 0.5216,                0.61475,                 0.5516,                 0.2565,                 1.7031,                 2.2784,                 2.0611,             0.00041041,             0.00041041,             0.00041041
                     38,                 1.1758,                 1.4902,                 1.3506,                0.57951,                0.61249,                0.63677,                 0.3077,                 1.6997,                 2.1903,                 2.1701,             0.00038211,             0.00038211,             0.00038211
                     39,                 1.1379,                 1.4096,                 1.3159,                0.54507,                0.66959,                0.66092,                0.36182,                 1.7336,                 2.1107,                 2.2189,             0.00035382,             0.00035382,             0.00035382
                     40,                 1.1561,                 1.6824,                 1.3275,                0.57584,                0.66632,                 0.6914,                0.34672,                 1.6947,                 1.9721,                 2.1094,             0.00032553,             0.00032553,             0.00032553
                     41,                 1.1407,                 1.6993,                 1.3448,                0.61319,                0.67442,                0.65859,                0.34204,                 1.5531,                 2.0055,                 1.9455,             0.00029723,             0.00029723,             0.00029723
                     42,                 1.2325,                 1.8397,                 1.4957,                0.63608,                0.54217,                0.63014,                0.33278,                 1.5801,                 2.6355,                 1.9518,             0.00026894,             0.00026894,             0.00026894
                     43,                  1.165,                  1.555,                 1.4246,                0.59285,                0.58903,                 0.6153,                0.29118,                 1.5398,                 2.7916,                  1.903,             0.00024064,             0.00024064,             0.00024064
                     44,                 1.0141,                 1.5561,                 1.2709,                0.49776,                0.63648,                0.56295,                0.29796,                 1.4695,                  2.916,                 1.7544,             0.00021235,             0.00021235,             0.00021235
                     45,                 1.0967,                 1.5449,                 1.4308,                0.59513,                0.68693,                0.59632,                0.31797,                 1.4138,                 2.7771,                  1.702,             0.00018406,             0.00018406,             0.00018406
                     46,                 1.1099,                 1.4513,                 1.2912,                0.61275,                0.70077,                0.64537,                0.31982,                 1.3941,                 2.3181,                 1.7026,             0.00015576,             0.00015576,             0.00015576
                     47,                 1.0648,                 1.5567,                 1.3508,                 0.6761,                0.64593,                0.67501,                0.32702,                 1.4746,                  2.252,                 1.7094,             0.00012747,             0.00012747,             0.00012747
                     48,                0.91708,                  1.367,                 1.2041,                0.76136,                0.58625,                0.68831,                0.33028,                  1.473,                 2.1762,                   1.72,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                0.98568,                 1.4739,                 1.3021,                0.72491,                 0.6471,                0.71779,                0.33859,                 1.5098,                  2.077,                 1.7679,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     50,                0.97392,                 1.3674,                 1.2736,                0.79791,                  0.647,                0.72908,                0.33447,                 1.5003,                 2.0224,                  1.766,             4.2584e-05,             4.2584e-05,             4.2584e-05
