                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8627,                 3.5958,                 1.9973,                0.00262,                 0.5543,                0.03581,                0.01082,                 2.1179,                 4.3899,                 2.6094,             0.00010003,             0.00010003,             0.00010003
                      2,                  1.732,                  3.561,                 1.9561,                 0.0051,                0.54109,                 0.0517,                 0.0145,                  1.849,                 4.4391,                 2.6196,             0.00021011,             0.00021011,             0.00021011
                      3,                 1.5602,                 3.3612,                 1.6882,                0.00431,                 0.6126,                0.09013,                0.02989,                 1.5123,                 4.2218,                 1.9754,             0.00031565,             0.00031565,             0.00031565
                      4,                 1.5456,                 3.1674,                   1.64,                0.00777,                0.79839,                0.16945,                0.05685,                 1.5012,                  4.322,                 2.0204,             0.00041668,             0.00041668,             0.00041668
                      5,                 1.5269,                 2.9774,                 1.6732,                0.00511,                0.65184,                0.19664,                 0.0905,                 1.9649,                 4.3159,                 2.5941,             0.00051317,             0.00051317,             0.00051317
                      6,                 1.6019,                  2.699,                 1.6511,                0.00227,                0.47573,                0.19378,                0.08446,                 2.4973,                 4.4059,                 3.5517,             0.00060514,             0.00060514,             0.00060514
                      7,                 1.5602,                 2.5104,                 1.6337,                 0.0035,                0.65077,                 0.1822,                0.07552,                 2.1171,                 4.5449,                 2.7956,             0.00069258,             0.00069258,             0.00069258
                      8,                 1.5186,                 2.4611,                 1.6196,                  0.004,                0.74485,                0.12945,                0.04204,                  1.806,                 4.1879,                 2.2608,             0.00077549,             0.00077549,             0.00077549
                      9,                 1.5941,                 2.4253,                 1.6542,                0.06404,                0.56843,                0.16402,                0.08405,                  1.816,                 4.0493,                 2.5456,             0.00085388,             0.00085388,             0.00085388
                     10,                 1.6616,                 2.4533,                  1.716,                 0.0041,                0.76636,                0.25217,                0.10336,                 1.5448,                 4.0516,                 2.1622,             0.00092774,             0.00092774,             0.00092774
                     11,                 1.5406,                 2.3554,                 1.6626,                0.73667,                0.01667,                0.10479,                0.04058,                 1.8892,                 3.9645,                 2.2686,             0.00099707,             0.00099707,             0.00099707
                     12,                 1.5257,                 2.2683,                 1.6473,                0.46596,                 0.0266,                0.28241,                0.08413,                 1.6853,                 3.8498,                 2.0078,              0.0010619,              0.0010619,              0.0010619
