                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9039,                 3.8665,                 2.0198,                0.00144,                0.39939,                0.01205,                0.00409,                 1.9829,                 4.4542,                 2.4537,             0.00012861,             0.00012861,             0.00012861
                      2,                 1.6609,                 3.7671,                 1.8072,                 0.0048,                0.49132,                0.02853,                0.01091,                 1.2886,                 4.0528,                 1.8924,             0.00026613,             0.00026613,             0.00026613
                      3,                 1.5548,                 3.4678,                 1.7496,                0.01126,                0.71874,                0.17302,                0.08712,                 1.3201,                 3.9979,                 1.6525,               0.000398,               0.000398,               0.000398
                      4,                 1.6099,                 3.2916,                 1.7492,                0.00791,                0.78786,                0.26226,                0.15601,                 1.2651,                 4.0342,                  1.643,             0.00052421,             0.00052421,             0.00052421
                      5,                 1.6554,                 3.0299,                 1.7726,                0.00594,                0.85699,                0.18282,                0.06556,                 1.3629,                  3.936,                 1.6404,             0.00064475,             0.00064475,             0.00064475
                      6,                 1.5943,                 3.1279,                 1.7356,                0.00414,                0.70207,                0.15339,                0.04162,                 1.3543,                 3.9568,                 1.7209,             0.00075964,             0.00075964,             0.00075964
                      7,                 1.6855,                 3.1126,                  1.768,                0.00397,                0.73303,                0.15853,                0.07551,                 1.2894,                 3.6175,                 1.7008,             0.00086887,             0.00086887,             0.00086887
                      8,                 1.6974,                 2.7765,                 1.7859,                0.00455,                0.85323,                0.19267,                0.07177,                 1.6682,                 3.6558,                 2.0458,             0.00097244,             0.00097244,             0.00097244
                      9,                 1.6747,                 2.7708,                 1.7459,                0.47325,                0.06429,                0.12728,                0.05555,                 1.5301,                 3.6965,                 1.9771,              0.0010704,              0.0010704,              0.0010704
                     10,                 1.6617,                 2.5778,                 1.6728,                0.72921,                0.06429,                0.14415,                0.07123,                 2.3029,                 4.0417,                  3.204,              0.0011626,              0.0011626,              0.0011626
                     11,                 1.7236,                 2.9675,                  1.733,                 0.5357,                0.15812,                0.13924,                0.06804,                 2.3487,                 3.9184,                 3.5662,              0.0011461,              0.0011461,              0.0011461
                     12,                 1.5304,                 2.5523,                 1.6628,                 0.3936,                0.09892,                0.14148,                0.05166,                 1.9385,                 3.8957,                 2.4378,              0.0011178,              0.0011178,              0.0011178
                     13,                 1.5733,                 2.3626,                 1.6707,                0.23389,                0.21912,                0.22076,                0.07451,                 1.8231,                 3.7965,                 2.2936,              0.0010895,              0.0010895,              0.0010895
                     14,                 1.4983,                   2.63,                 1.6877,                0.44539,                0.14654,                 0.1439,                0.06973,                 2.4002,                 4.0347,                 2.8062,              0.0010612,              0.0010612,              0.0010612
                     15,                  1.564,                 2.3976,                 1.6357,                0.37833,                0.14654,                 0.1363,                0.04643,                 3.1136,                 4.3442,                 3.5965,              0.0010329,              0.0010329,              0.0010329
                     16,                 1.5031,                 2.2573,                 1.6055,                 0.3722,                0.22457,                0.23781,                0.08804,                 3.2709,                 4.8348,                 3.5113,              0.0010046,              0.0010046,              0.0010046
                     17,                 1.5585,                 2.1348,                 1.6187,                0.57335,                0.26113,                0.35446,                0.14991,                 2.5929,                 4.2374,                 3.3185,             0.00097629,             0.00097629,             0.00097629
                     18,                 1.4717,                 2.3395,                 1.6184,                 0.4126,                0.37542,                0.34348,                0.15444,                  2.073,                 3.0409,                 3.5583,               0.000948,               0.000948,               0.000948
                     19,                 1.5204,                 2.2421,                 1.6197,                0.32504,                0.28181,                 0.2964,                0.15028,                 1.8552,                 3.0553,                 2.6935,              0.0009197,              0.0009197,              0.0009197
                     20,                 1.4995,                 2.1831,                 1.5716,                0.28219,                0.36459,                 0.3094,                0.12289,                 1.8936,                 3.4802,                 2.1518,             0.00089141,             0.00089141,             0.00089141
                     21,                 1.4621,                 2.1199,                 1.5878,                0.53096,                0.31198,                 0.3871,                 0.1183,                 1.9786,                 2.8666,                 2.2612,             0.00086312,             0.00086312,             0.00086312
                     22,                 1.4417,                 2.1513,                 1.6235,                0.56248,                0.28323,                0.37118,                0.12094,                 1.7017,                 2.7915,                 2.1168,             0.00083482,             0.00083482,             0.00083482
                     23,                 1.5163,                 2.1268,                 1.6477,                0.36991,                0.39424,                  0.254,                0.08131,                 1.6587,                  3.111,                 1.9833,             0.00080653,             0.00080653,             0.00080653
                     24,                 1.4989,                   2.36,                 1.6504,                0.47333,                0.29547,                0.27502,                0.10251,                 1.8849,                 3.0827,                 2.2791,             0.00077823,             0.00077823,             0.00077823
                     25,                 1.4223,                 1.9853,                 1.5056,                 0.3729,                0.30492,                0.27351,                0.11362,                 2.0509,                  3.227,                 2.7096,             0.00074994,             0.00074994,             0.00074994
                     26,                 1.4372,                 1.9216,                  1.569,                0.36764,                0.43579,                0.37484,                 0.1464,                  1.872,                 3.0907,                 2.6732,             0.00072164,             0.00072164,             0.00072164
                     27,                 1.4062,                 1.8485,                 1.5031,                0.45483,                0.46121,                0.41339,                0.20107,                 1.8165,                 2.6413,                 2.6274,             0.00069335,             0.00069335,             0.00069335
                     28,                 1.3454,                 1.8238,                 1.4848,                0.54671,                0.56014,                0.53267,                 0.2404,                 1.8075,                 2.7757,                 2.2778,             0.00066506,             0.00066506,             0.00066506
                     29,                 1.3944,                 1.8683,                 1.5053,                 0.5986,                0.37824,                0.45389,                0.20295,                 1.9622,                 2.9673,                 2.6046,             0.00063676,             0.00063676,             0.00063676
                     30,                 1.2111,                 3.2319,                 1.3218,                 0.5912,                0.53799,                0.54863,                 0.2347,                 2.0727,                 2.9901,                 2.6072,             0.00060847,             0.00060847,             0.00060847
                     31,                 1.2951,                 1.8056,                  1.424,                0.69176,                0.49731,                0.54518,                0.26272,                 2.0286,                 2.6859,                 2.4124,             0.00058017,             0.00058017,             0.00058017
                     32,                 1.2775,                 1.7488,                 1.4169,                0.64111,                  0.525,                0.57108,                0.28954,                 1.7151,                 2.6482,                 2.0733,             0.00055188,             0.00055188,             0.00055188
                     33,                 1.3355,                 1.7048,                 1.3928,                0.72035,                0.44078,                0.55026,                0.27326,                 1.6634,                 2.4218,                 2.0074,             0.00052359,             0.00052359,             0.00052359
                     34,                 1.3233,                 1.6857,                 1.4282,                0.53252,                0.47422,                0.51278,                 0.2681,                 1.6306,                 2.3491,                 2.0355,             0.00049529,             0.00049529,             0.00049529
                     35,                 1.3003,                 1.6791,                 1.4772,                0.91135,                0.36112,                0.50945,                0.27616,                 1.6755,                 2.3453,                  2.066,               0.000467,               0.000467,               0.000467
                     36,                 1.3276,                 1.6152,                 1.4332,                0.54472,                 0.5246,                0.53721,                0.25362,                 1.9417,                 2.2253,                 2.3294,              0.0004387,              0.0004387,              0.0004387
                     37,                 1.2242,                 1.5508,                 1.3505,                0.53177,                0.63141,                0.57072,                0.26908,                 1.8075,                 2.5343,                 2.1219,             0.00041041,             0.00041041,             0.00041041
                     38,                 1.2504,                 1.5621,                 1.4061,                0.55293,                0.63756,                0.55638,                0.29015,                 2.0455,                   3.34,                 2.5396,             0.00038211,             0.00038211,             0.00038211
                     39,                 1.1183,                 1.4789,                 1.3352,                0.60922,                0.54101,                 0.5727,                 0.3007,                 2.0786,                 2.9161,                 2.5608,             0.00035382,             0.00035382,             0.00035382
                     40,                 1.2201,                 1.6881,                 1.4296,                0.62507,                0.49038,                0.57806,                0.30863,                 1.6753,                 2.9715,                 2.0765,             0.00032553,             0.00032553,             0.00032553
                     41,                 1.1205,                 1.6983,                  1.354,                0.52841,                0.60845,                0.59676,                0.31825,                 1.8433,                 2.7626,                 2.2008,             0.00029723,             0.00029723,             0.00029723
                     42,                  1.087,                 1.5019,                 1.3514,                 0.8196,                0.47361,                0.60636,                0.31547,                 1.8912,                 2.2934,                 2.4795,             0.00026894,             0.00026894,             0.00026894
                     43,                 1.1341,                 1.6373,                 1.3824,                0.78658,                 0.5218,                0.64862,                0.34252,                 1.6992,                  2.261,                 2.3388,             0.00024064,             0.00024064,             0.00024064
                     44,                0.96323,                 2.4011,                 1.1927,                  0.678,                0.61441,                0.66727,                0.35455,                 1.6478,                 2.1099,                 2.1535,             0.00021235,             0.00021235,             0.00021235
                     45,                 1.0643,                  1.761,                 1.3428,                0.68649,                0.62026,                0.64396,                0.34584,                  1.647,                 2.0383,                 2.1061,             0.00018406,             0.00018406,             0.00018406
                     46,                 1.0837,                  1.469,                 1.2828,                0.62654,                0.57896,                0.62424,                0.33895,                 1.6994,                 2.0547,                 2.1141,             0.00015576,             0.00015576,             0.00015576
                     47,                 1.0356,                 1.3512,                 1.2354,                0.61011,                0.59839,                0.64749,                0.35954,                 1.6711,                 2.0404,                 2.0701,             0.00012747,             0.00012747,             0.00012747
                     48,                 1.0192,                 1.3939,                 1.2545,                0.64373,                0.63607,                0.66025,                 0.3718,                 1.5229,                 1.8296,                 1.8656,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                0.89397,                  1.303,                 1.2105,                0.69152,                0.64146,                0.66929,                0.35942,                 1.4468,                 1.7855,                  1.755,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     50,                0.93598,                 1.3125,                 1.2322,                0.69658,                0.65036,                0.66948,                0.36546,                 1.4424,                 1.7172,                 1.7245,             4.2584e-05,             4.2584e-05,             4.2584e-05
